#TYPE System.Management.Automation.PSCustomObject
"Time","Type","Message"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9676"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso500111"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9668"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso502205"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9635"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501862"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9679"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501864"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9668"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501866"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9670"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501867"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9672"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501870"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9665"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501873"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9638"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9661"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501875"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9672"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9675"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501876"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9672"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9675"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501878"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9677"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9675"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501879"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9677"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501911"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9667"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501912"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9672"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso504421"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9680"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso504628"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9681"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501918"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9638"
"31.12.2020 14:30","INFO","Student addet to db id: gibsso501921"
"31.12.2020 14:30","","student addet to class, student: System.Data.DataRow, class: 9672"
